customer_age,months_on_book,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_utilization_ratio,total_trans_amt_avg,gender_F,dependent_count_1,dependent_count_2,dependent_count_3,dependent_count_4,dependent_count_5,education_level_College,education_level_Doctorate,education_level_Graduate,education_level_High School,education_level_Uneducated,marital_status_Married,marital_status_Single,income_category_$40K - $60K,income_category_$60K - $80K,income_category_$80K - $120K,income_category_Less than $40K,card_category_Blue,total_relationship_count_2,total_relationship_count_3,total_relationship_count_4,total_relationship_count_5,total_relationship_count_6,months_inactive_12_mon_1,months_inactive_12_mon_2,months_inactive_12_mon_3,months_inactive_12_mon_4,months_inactive_12_mon_5,months_inactive_12_mon_6,contacts_count_12_mon_0,contacts_count_12_mon_1,contacts_count_12_mon_2,contacts_count_12_mon_3,contacts_count_12_mon_4,contacts_count_12_mon_5,attrition_flag
45,39,9.448648359810164,777,1.1554220008291343,1.2747548783981961,0.2469817807045694,1.195320446499086,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,44,9.018695487721343,864,1.2413702106946178,1.9271740969616626,0.324037034920393,1.2992824830519978,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
51,36,8.136810863675537,0,1.6105899540230593,1.5274161188098023,0.0,1.5144701537961587,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
40,34,8.105609402299896,2517,1.1853269591129698,1.5274161188098023,0.8717797887081347,1.4036137828222293,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
40,21,8.458716261657262,0,1.4747881203752624,1.5811388300841898,0.0,1.2155682697539893,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
44,36,8.296546520300614,1247,1.1730302638892143,0.9197825830053535,0.5576737397439474,1.3386896757230802,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51,46,10.449178263628198,2264,1.4053469322555197,0.8497058314499201,0.2569046515733026,1.324138869438984,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
32,27,10.277840318951666,1396,1.484587484791651,0.8449852069711044,0.21908902300206645,1.3230135052189398,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
37,36,10.014671081496743,2517,1.8316659084014202,1.0871982339941506,0.3361547262794322,1.3937182460372215,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,36,9.363576347875041,1677,1.2345039489608771,0.9391485505499116,0.3794733192202055,1.3369351670485943,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
42,31,8.817001443665859,1467,0.9115920140062659,0.8246211251235321,0.4658325879540846,1.2099271033901784,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
65,54,9.115480090952223,1587,1.1970797801316335,1.1679041056525146,0.4171330722922842,1.3667890281882455,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
56,36,9.371693622333941,0,1.8430952227163955,1.8027756377319946,0.0,1.5053376666985674,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,30,9.053335623166017,1666,1.078424777163433,1.4142135623730951,0.44158804331639234,1.3034663821324324,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,48,7.798112628829788,680,1.0908712114635715,0.7816648898345121,0.5282045058497703,1.384175885823829,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
44,37,8.350902451694811,972,1.3065221008463654,1.3038404810405297,0.47958315233127197,1.3636755806784964,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,36,10.321111771468102,2362,1.3069047402163632,0.9638464608017192,0.2792848008753788,1.4171486012472627,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
41,34,9.513034202048402,1291,0.8080841540334769,1.2747548783981961,0.3082207001484488,1.3586271308626148,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
61,56,8.068716192714781,2517,1.3531444860028805,1.0691117808723276,0.8876936408468858,1.3340105690973822,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,37,9.57983281962553,1157,0.9828529900244491,0.9534149149242422,0.282842712474619,1.3990552888827248,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
47,42,9.951277216371977,1800,0.9518403227432635,0.9638464608017192,0.29325756597230357,1.328595462534515,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,49,7.271008538280992,0,1.0232301793829186,0.7745966692414834,0.0,1.3262781942731832,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
41,33,8.405143687607614,680,1.2680693987317886,1.2533953885346794,0.38987177379235854,1.372673902222254,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47,36,7.820840879907344,1560,0.7569676347110225,0.5941380311005179,0.7912016177940993,1.3586488699691608,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
54,42,9.41058370340406,0,1.036822067666386,0.8660254037844386,0.0,1.3781595774502737,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,28,8.957768009971161,1669,0.8927485648266258,0.9126883367283708,0.4636809247747852,1.3523380452339795,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
59,46,9.601300793881466,1374,0.9596874491208063,1.140175425099138,0.30495901363953815,1.3742418934558178,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
63,56,9.231612507251722,1010,0.9181503144910423,1.0,0.31464265445104544,1.3514007902896792,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44,34,9.22029070282935,0,0.724568837309472,1.2533953885346794,0.0,1.4031703166031393,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,42,8.473241303887054,1362,0.8596510920134982,0.9486832980505138,0.5338539126015656,1.1982120443673117,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,33,7.920446505142607,1811,0.9884331034521254,1.6034338152851835,0.8111719916269299,1.3153823024362141,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,48,7.804251383528112,1690,1.1502173707608487,1.2649110640673518,0.8306623862918074,1.4151634206864214,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
41,36,9.09638749190015,2517,1.3137731919931994,1.2911235417263525,0.5310367218940701,1.433370279711692,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
53,38,7.882314918980268,1490,1.3228756555322954,1.0,0.7496665925596525,1.3660532453294716,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
58,49,9.437874271591685,1696,0.720416546173115,0.8449852069711044,0.3674234614174767,1.3825670634931304,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
55,36,8.166216268592143,1914,0.714142842854285,0.6949820141557621,0.737563556583431,1.2493327897017863,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55,36,8.017966703493599,2298,1.3130118049735882,1.0844353369380766,0.8700574693662483,1.3677515315504967,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
42,36,9.64426335290083,0,0.9300537618869137,1.0954451150103321,0.0,1.3302850640772026,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,49,8.20849175174038,886,1.1489125293076057,0.74565407529229,0.4909175083453431,1.3754162040164164,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
66,56,8.97233695775495,605,1.0256705123966467,0.3781534080237807,0.27748873851023215,1.3308317646057786,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
45,41,10.386715849110015,578,1.0207840124139875,0.6884765791223402,0.1341640786499874,1.3026435521386623,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
51,44,8.733110697638708,2204,0.8961026726887941,0.74565407529229,0.5958187643906492,1.3541405914163032,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
