attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_utilization_ratio,total_trans_amt_avg
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691,777,1.335,1.625,0.061,27
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256,864,1.541,3.714,0.105,39
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418,0,2.594,2.333,0.0,94
0,40,F,4,High School,Divorced,Less than $40K,Blue,34,3,4,1,3313,2517,1.405,2.333,0.76,58
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,0,2.175,2.5,0.0,29
0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010,1247,1.376,0.846,0.311,45
0,51,M,4,Post-Graduate,Married,$120K +,Gold,46,6,1,3,34516,2264,1.975,0.722,0.066,42
0,32,M,0,High School,Divorced,$60K - $80K,Silver,27,2,2,2,29081,1396,2.204,0.714,0.048,42
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,2517,3.355,1.182,0.113,56
0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656,1677,1.524,0.882,0.144,45
0,42,M,5,Uneducated,Divorced,$120K +,Blue,31,5,3,2,6748,1467,0.831,0.68,0.217,28
0,65,M,1,Graduate,Married,$40K - $60K,Blue,54,6,2,3,9095,1587,1.433,1.364,0.174,50
0,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751,0,3.397,3.25,0.0,90
0,35,M,3,Graduate,Divorced,$60K - $80K,Blue,30,5,1,3,8547,1666,1.163,2.0,0.195,39
0,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,680,1.19,0.611,0.279,54
0,44,M,4,Doctorate,Divorced,$80K - $120K,Blue,37,5,1,2,4234,972,1.707,1.7,0.23,49
0,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,2362,1.708,0.929,0.078,61
0,41,M,3,Doctorate,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,0.653,1.625,0.095,48
0,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,2517,1.831,1.143,0.788,44
0,45,F,2,Graduate,Married,$60K - $80K,Blue,37,6,1,2,14470,1157,0.966,0.909,0.08,57
0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,0.906,0.929,0.086,43
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438,0,1.047,0.6,0.0,43
0,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,680,1.608,1.571,0.152,51
0,47,F,4,College,Single,Less than $40K,Blue,36,3,3,2,2492,1560,0.573,0.353,0.626,48
0,54,M,2,Doctorate,Married,$80K - $120K,Blue,42,4,2,3,12217,0,1.075,0.75,0.0,52
0,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,1669,0.797,0.833,0.215,47
